chr,strand,start,end,Transcript,Splicing_type,exon_pair_len
chr2,-,130843386,130868253,NM_001099771.2,LS,24867
chr3,-,195613847,195615477,NR_170685.1,LS,1630
chr3,-,195612283,195615477,NR_170685.1,LS,3194
chr12,-,8075416,8086498,NM_006931.3,LS,11082
chr12,-,8078439,8085743,NM_006931.3,LS,7304
chr12,-,8077005,8083238,NM_006931.3,LS,6233
chr12,-,8078439,8084081,NM_006931.3,LS,5642
chr12,-,8078439,8086498,NM_006931.3,LS,8059
chr12,-,8077005,8082467,NM_006931.3,LS,5462
chr16,-,71686692,71692266,NM_001289003.1,LS,5574
chr1,+,10356639,10397261,NM_001365951.3,LS,40622
chr6,-,43422148,43422618,NM_206539.2,LS,470
chr20,+,3838281,3845435,NM_001385663.1,LS,7154
chr10,-,22055189,22095028,NM_022365.4,LS,39839
chr10,+,26991090,26993670,NM_001321979.2,LS,2580
chr7,+,156979527,157016045,NM_014671.3,LS,36518
chr7,+,156974211,157046836,NM_014671.3,LS,72625
chr7,+,156967612,156994501,NM_014671.3,LS,26889
chr7,+,156979527,157013470,NM_014671.3,LS,33943
chr15,+,99796102,99900491,NR_135758.2,LS,104389
chr2,-,48036296,48059625,NM_001190274.2,LS,23329
chr15,+,91482960,91488293,NM_001039675.2,LS,5333
chr15,+,91477568,91496276,NM_001039675.2,LS,18708
chr15,+,91479514,91488293,NM_001039675.2,LS,8779
chr15,+,91488121,91492950,NM_001039675.2,LS,4829
chr15,+,91478173,91491120,NM_001039675.2,LS,12947
chr15,+,91482960,91490144,NM_001039675.2,LS,7184
chr15,+,91491025,91491513,NM_001039675.2,LS,488
chr15,+,91478773,91491120,NM_001039675.2,LS,12347
chr15,+,91478173,91493845,NM_001039675.2,LS,15672
chr15,+,91486141,91493497,NM_001039675.2,LS,7356
chr15,+,91486141,91490144,NM_001039675.2,LS,4003
chr15,+,91479175,91491120,NM_001039675.2,LS,11945
chr15,+,91477568,91493845,NM_001039675.2,LS,16277
chr20,-,31043920,31062545,NM_001256798.2,LS,18625
chr2,+,102972742,102988578,NM_001371421.1,LS,15836
chr2,+,102972742,102990453,NM_001371421.1,LS,17711
chr2,+,202025154,202027829,NR_147242.2,LS,2675
chr2,+,202018859,202027829,NR_147242.2,LS,8970
chr2,+,110551741,110589029,NM_032260.3,LS,37288
chr11,+,120916382,120918376,NM_001363644.2,LS,1994
chr5,-,95036950,95055477,NM_001349303.2,LS,18527
chr5,-,95034291,95044539,NM_001349303.2,LS,10248
chr1,+,7846780,7886770,NM_001289864.3,LS,39990
chr1,+,7848104,7896005,NM_001289864.3,LS,47901
chr16,+,83992864,83994365,NM_182981.3,LS,1501
chr16,+,83992864,83994677,NM_182981.3,LS,1813
chr10,-,71966019,71974342,NM_021129.4,LS,8323
chr10,-,71966019,71969046,NM_021129.4,LS,3027
chr10,-,71969313,71974342,NM_021129.4,LS,5029
chr10,-,71964628,71977687,NM_021129.4,LS,13059
chr10,-,71969313,71973345,NM_021129.4,LS,4032
chr8,-,74162502,74169361,NM_001391993.1,LS,6859
chr2,-,87259191,87271107,NR_026846.1,LS,11916
chr2,-,95767421,95780948,NM_001321995.2,LS,13527
chr2,-,95770384,95780948,NM_001321995.2,LS,10564
chr2,-,95756130,95766281,NM_001321995.2,LS,10151
chrY,+,7171977,7235474,NR_028062.1,LS,63497
chr1,+,165621214,165623588,NM_004528.4,LS,2374
chr5,+,108133824,108233549,NR_146155.2,LS,99725
chr7,+,44838845,44839079,NM_001300981.2,LS,234
chr7,+,44838990,44839473,NM_001300981.2,LS,483
chr11,-,68660870,68664146,NM_181515.2,LS,3276
